number_complaints,officer,salary,year
2,13625,80724,2013
2,13625,85662,2014
2,13625,90024,2017
2,13684,67884,2004
2,13684,82008,2009
2,13684,93192,2012
2,13684,98898,2014
2,13708,61518,2003
2,13708,82272,2010
2,13708,84756,2012
2,13708,84756,2013
2,13708,97080,2016
2,13745,53136,2003
2,13745,90024,2017
2,13756,87006,2017
2,13771,43104,2009
2,13771,59724,2010
2,13771,71748,2013
2,13771,84054,2017
2,13773,43104,2009
2,13773,59724,2010
2,13773,79980,2014
2,13773,80778,2015
2,13773,84054,2017
2,13957,72810,2003
2,13957,84402,2007
2,13957,84402,2009
2,14031,68262,2009
2,14031,75372,2012
2,14031,75372,2013
2,14031,82788,2014
2,14031,86142,2016
2,14103,73296,2015
2,14103,84054,2017
2,14140,79152,2006
2,14171,61932,2008
2,14171,74628,2011
2,14171,75372,2013
2,14171,79980,2014
2,14178,53136,2004
2,14178,73164,2010
2,14178,78012,2013
2,14178,82788,2014
2,14178,83616,2015
2,14178,86142,2016
2,14248,66906,2005
2,14248,73116,2007
2,14248,78360,2010
2,14371,60600,2004
2,14371,82878,2011
2,14381,69264,2003
2,14381,76476,2005
2,14381,79152,2006
2,14381,80736,2009
2,14447,71748,2013
2,14447,79980,2014
2,14451,89220,2005
2,14547,43104,2008
2,14547,43104,2009
2,14555,43104,2012
2,14555,84054,2017
2,14591,80400,2006
2,14591,90456,2010
2,14591,92268,2011
2,14591,100884,2016
2,14595,75258,2006
2,14595,90540,2012
2,14710,55764,2003
2,14710,66924,2006
2,14710,75726,2010
2,14710,85662,2014
2,14710,86520,2015
2,14720,68994,2014
2,14720,79224,2016
2,14720,84054,2017
2,14734,46206,2015
2,14751,40830,2005
2,14751,61932,2008
2,14751,64992,2009
2,14751,74628,2011
2,14751,75372,2013
2,14751,79980,2014
2,14751,83616,2015
2,14751,87006,2017
2,14759,66924,2006
2,14759,70656,2009
2,14759,80724,2013
2,14772,82422,2003
2,14799,43104,2012
2,14799,61530,2013
2,14799,68994,2014
2,14844,62742,2003
2,14890,127278,2003
2,14900,68994,2014
2,14900,73296,2015
2,15066,68262,2009
2,15066,78012,2012
2,15066,82788,2014
2,15073,77580,2005
2,15073,80400,2006
2,15073,84402,2008
2,15073,93192,2013
2,15073,102900,2016
2,15085,52788,2005
2,15085,61932,2007
2,15085,74628,2011
2,15085,75372,2012
2,15098,46872,2002
2,15098,66924,2006
2,15098,78012,2012
2,15098,82788,2014
2,15098,89130,2016
2,15269,75510,2016
2,15313,64356,2002
2,15313,77580,2006
2,15313,79134,2008
2,15340,69264,2003
2,15375,68994,2014
2,15381,72810,2003
2,15381,92778,2011
2,15393,72810,2003
2,15412,67908,2002
2,15412,69264,2003
2,15418,87534,2009
2,15418,95694,2011
2,15418,96648,2012
2,15463,36984,2004
2,15463,64992,2007
2,15524,69264,2003
2,15524,76476,2005
2,15524,80736,2007
2,15524,86532,2010
2,15568,73296,2015
2,15568,79224,2016
2,15593,66924,2006
2,15593,70656,2009
2,15593,80724,2013
2,15593,93354,2017
2,15627,65016,2012
2,15627,68382,2013
2,15635,73476,2002
2,15635,87354,2007
2,15635,87354,2008
2,15712,80808,2002
2,15712,102960,2010
2,15712,105018,2011
2,15789,73296,2015
2,15789,79224,2016
2,15881,58572,2003
